Title,Price,image_url
Beige Dabu Print Cotton Flared Shorts,"3,390",//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_600x.jpg?v=1625847290
Brick Red Block Print Floral Hot Pants,"2,760",//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_600x.jpg?v=1625847290
Black Elasticated Short Cotton Boxers,"2,140",//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-731406_600x.jpg?v=1626171553
Purple Flannel Convertible Pant Shorts,"4,630",//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-329598_600x.jpg?v=1626171553
White Hand Beaded Short Cotton Shorts,"3,020",//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-815542_600x.jpg?v=1625848026
Mauve Cotton Corduroy Baggy Shorts,"3,200",//cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-591242_600x.jpg?v=1625848026
Violet Striped Mangalgiri Cotton Shorts,"3,440",//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot2_600x.jpg?v=1642053487
Khaki Vegetable Dyed Handspun Short Shorts,"4,670",//cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot1_600x.jpg?v=1642053487
Cotton Grey Striped Paperbag Shorts,"3,550",//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-249070_600x.jpg?v=1625990991
Melon Orange Handspun Mirror Work Shorts,"2,610",//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-244024_600x.jpg?v=1625990991
Vegetable Dyed Off-White Paneled Shorts,"3,940",//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_600x.jpg?v=1625990578
Indigo Cotton Denim Paneled Shorts,"3,400",//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_600x.jpg?v=1625990578
Floral Block Print Comfort Fit Shorts,"2,670",//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_600x.jpg?v=1625991042
Handspun Brown Flared Shorts,"3,720",//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-603837_600x.jpg?v=1625991042
Yellow Vegetable Dyed Handspun Short Shorts,"4,660",//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_600x.jpg?v=1626083172
Teal Solid Cotton Short Shorts,"2,460",//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-683178_600x.jpg?v=1626083172
Kashish Dabu Print High-Rise Comfort Fit Shorts,"2,800",//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865_600x.jpg?v=1625849646
Powder Blue Checkered Handspun Shorts,"4,840",//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255_600x.jpg?v=1625849646
Blue Vegetable Dyed Straight Fit Shorts,"4,020",//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333_600x.jpg?v=1626279953
Block Printed Striped Boxer Shorts,"3,690",//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968_600x.jpg?v=1626279953
Bottle Green Handspun Cotton Short Shorts,"4,330",//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-297253_600x.jpg?v=1626283687
Cotton Beige Striped Paperbag Shorts,"3,550",//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-120047_600x.jpg?v=1626283687
Dusk Beige Cotton Corduroy Baggy Shorts,"3,200",//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394_600x.jpg?v=1611240888
Bagru Block Print Mustard Straight Shorts,"3,540",//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788_600x.jpg?v=1611240888
